Time: 0m30s - Junction C: 0 cars through from South, 0 cars waiting.
Time: 1m0s - Junction C: 6 cars through from North, 3 cars waiting.
Time: 1m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 2m0s - Junction C: 6 cars through from North, 6 cars waiting.
Time: 2m30s - Junction C: 6 cars through from South, 1 cars waiting.
Time: 3m0s - Junction C: 6 cars through from North, 9 cars waiting.
Time: 3m30s - Junction C: 6 cars through from South, 1 cars waiting.
Time: 4m0s - Junction C: 6 cars through from North, 12 cars waiting.
Time: 4m30s - Junction C: 5 cars through from South, 1 cars waiting.
Time: 5m0s - Junction C: 6 cars through from North, 21 cars waiting. GRIDLOCK
Time: 5m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 6m0s - Junction C: 6 cars through from North, 25 cars waiting.
Time: 6m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 7m0s - Junction C: 6 cars through from North, 32 cars waiting. GRIDLOCK
Time: 7m30s - Junction C: 3 cars through from South, 1 cars waiting.
Time: 8m0s - Junction C: 6 cars through from North, 41 cars waiting. GRIDLOCK
Time: 8m30s - Junction C: 6 cars through from South, 2 cars waiting.
Time: 9m0s - Junction C: 6 cars through from North, 44 cars waiting.
Time: 9m30s - Junction C: 6 cars through from South, 0 cars waiting.
Time: 10m0s - Junction C: 6 cars through from North, 47 cars waiting.
Time: 10m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 11m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 11m30s - Junction C: 6 cars through from South, 2 cars waiting.
Time: 12m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 12m30s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 13m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 13m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 14m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 14m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 15m0s - Junction C: 6 cars through from North, 49 cars waiting.
Time: 15m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 16m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 16m30s - Junction C: 5 cars through from South, 0 cars waiting.
Time: 17m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 17m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 18m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 18m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 19m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 19m30s - Junction C: 5 cars through from South, 0 cars waiting.
Time: 20m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 20m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 21m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 21m30s - Junction C: 6 cars through from South, 3 cars waiting.
Time: 22m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 22m30s - Junction C: 6 cars through from South, 0 cars waiting.
Time: 23m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 23m30s - Junction C: 5 cars through from South, 0 cars waiting.
Time: 24m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 24m30s - Junction C: 0 cars through from South, 0 cars waiting.
Time: 25m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 25m30s - Junction C: 1 cars through from South, 0 cars waiting.
Time: 26m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 26m30s - Junction C: 6 cars through from South, 3 cars waiting.
Time: 27m0s - Junction C: 6 cars through from North, 49 cars waiting.
Time: 27m30s - Junction C: 6 cars through from South, 1 cars waiting.
Time: 28m0s - Junction C: 6 cars through from North, 49 cars waiting. GRIDLOCK
Time: 28m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 29m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 29m30s - Junction C: 6 cars through from South, 1 cars waiting.
Time: 30m0s - Junction C: 7 cars through from North, 47 cars waiting.
Time: 30m30s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 31m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 31m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 32m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 32m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 33m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 33m30s - Junction C: 7 cars through from South, 2 cars waiting.
Time: 34m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 34m30s - Junction C: 6 cars through from South, 1 cars waiting.
Time: 35m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 35m30s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 36m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 36m30s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 37m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 37m30s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 38m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 38m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 39m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 39m30s - Junction C: 6 cars through from South, 4 cars waiting.
Time: 40m0s - Junction C: 6 cars through from North, 47 cars waiting.
Time: 40m30s - Junction C: 6 cars through from South, 1 cars waiting.
Time: 41m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 41m30s - Junction C: 6 cars through from South, 2 cars waiting.
Time: 42m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 42m30s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 43m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 43m30s - Junction C: 3 cars through from South, 0 cars waiting.
Time: 44m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 44m30s - Junction C: 7 cars through from South, 1 cars waiting.
Time: 45m0s - Junction C: 6 cars through from North, 48 cars waiting.
Time: 45m30s - Junction C: 6 cars through from South, 1 cars waiting.
Time: 46m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
Time: 46m30s - Junction C: 4 cars through from South, 1 cars waiting.
Time: 47m0s - Junction C: 6 cars through from North, 50 cars waiting. GRIDLOCK
